zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
11208,168.0,163.0,160.0,0.0,3.45,9.273500000000002,157.0,6.0,3.8095,212.0,107.0,7.0,3.3,60.1,60.1,0.0,Datasets broadly similar
11209,408.0,385.0,372.0,2.38,9.28,14.748500000000002,338.0,47.0,6.956000000000003,404.0,257.0,9.0,2.23,88.2,37.6,-50.6,Reporting exceeds restaurant evidence
11210,219.0,207.0,200.0,1.08,5.54,12.9635,194.0,13.0,5.590500000000006,127.0,74.0,9.0,7.09,69.7,94.9,25.2,Moderate potential under-reporting signal
11211,388.0,375.0,383.0,0.0,3.47,7.101999999999999,370.0,5.0,1.4634999999999962,621.0,401.0,25.0,4.03,87.6,70.2,-17.4,Datasets broadly similar
11212,181.0,168.0,169.0,0.0,3.89,9.224,160.0,8.0,5.163499999999999,173.0,110.0,4.0,2.31,62.9,39.9,-23.0,Datasets broadly similar
11213,453.0,428.0,439.0,0.63,4.15,8.4495,414.0,14.0,3.155000000000001,162.0,96.0,6.0,3.7,91.6,66.9,-24.7,Datasets broadly similar
11214,191.0,185.0,181.0,0.0,5.2,14.812499999999996,170.0,15.0,7.233999999999995,378.0,218.0,10.0,2.65,65.7,49.4,-16.3,Datasets broadly similar
11215,523.0,505.0,516.0,0.02,2.91,6.270999999999999,501.0,4.0,0.8555000000000064,539.0,338.0,17.0,3.15,94.4,56.7,-37.7,Datasets broadly similar
11216,718.0,676.0,689.0,3.33,10.49,33.388,597.0,79.0,12.121499999999997,362.0,199.0,23.0,6.35,98.3,89.9,-8.4,Datasets broadly similar
11217,238.0,230.0,236.0,0.04,2.47,7.917499999999999,229.0,1.0,1.0,432.0,277.0,17.0,3.94,73.0,68.0,-5.0,Datasets broadly similar
11218,493.0,469.0,467.0,0.54,5.5,13.933999999999996,440.0,29.0,5.813999999999993,224.0,132.0,11.0,4.91,93.3,77.0,-16.3,Datasets broadly similar
11219,188.0,180.0,182.0,0.0,5.41,27.378,174.0,6.0,5.839500000000001,184.0,111.0,13.0,7.07,65.2,94.4,29.2,Moderate potential under-reporting signal
11220,278.0,271.0,270.0,0.0,5.13,17.708999999999996,258.0,13.0,4.899000000000001,639.0,385.0,31.0,4.85,78.7,76.4,-2.3,Datasets broadly similar
11221,692.0,665.0,680.0,0.75,4.64,10.545000000000002,645.0,20.0,2.6340000000000003,266.0,151.0,14.0,5.26,97.8,81.5,-16.3,Datasets broadly similar
11222,309.0,300.0,305.0,0.0,3.61,7.384,296.0,4.0,1.7710000000000008,393.0,259.0,14.0,3.56,82.6,64.6,-18.0,Datasets broadly similar
